Reference_Number,watch_URL,type,brand,year_introduced,parent_model,specific_model,nickname,marketing_name,style,currency,price,image_url,made_in,case_shape,Case_material,case_finish,caseback,diameter,between_lugs,lug_to_lug,Case_thickness,bezel_material,bezel_color,crystal,water_resistance,weight,dial_color,numerals,bracelet_material,bracelet_color,clasp_type,movement,caliber,power_reserve,frequency,jewels,features,description,short_description
5132-ST-50181,https://www.raymond-weil.com/en/product/noemia-5132-st-50181/,Ladies,Raymond Weil,,Noemia,"Noemia Ladies Quartz Blue Dial Diamonds Watch, 32mm","Noemia Ladies Quartz Blue Dial Diamonds Watch, 32mm",,,USD,,https://www.raymond-weil.com/wp-content/uploads/2021/12/Packshot_5132-ST-50181.png,Switzerland,Round,Stainless steel set with diamonds,,screwed,32mm, , ,7.58mm,,,Sapphire,"50 m, 165 ft, 5 atm",,"Blue, with Roman numerals and set with diamonds","Blue, with Roman numerals and set with diamonds",Stainless steel,Stainless steel,Stainless steel folding clasp with double push-security system,Quartz,Quartz,,,,,"This delicate stainless model features a 32mm case and a subtly crafted deep blue dial. Its finishing touch is a crown sheltered by a layer of midnight blue lacquer. The dial is adorned with 11 diamond indices and a Roman XII, as a reference to the collection’s previous models.
This harmonious creation is an ode to refined style and feminine grace. With its slightly rounded sensual curves, the noemia reassures like a comforting talisman gently enveloping the wrist. The pure dial and the delight of the polished and satin-finished steel bracelet are hallmarks of an authentic piece of jewellery. The companion for all life’s moments.
Named after the Maison’s founder granddaughter, the noemia collection celebrates the RAYMOND WEIL family by creating exclusively feminine pieces. This contemporary incarnation of grace and timeless elegance is exhibited in a collection composed of stainless steel or gold-plated watches. Now available in a steel version with an accented jewelry character. Made with the Swiss precision for which the company is renowned, its delicate curves form a voluptuous caress of the wrist.",
5132-S1S-60181,https://www.raymond-weil.com/en/product/noemia-5132-s1s-60181/,Ladies,Raymond Weil,,Noemia,"Noemia Ladies Quartz Grey Dial 47 Diamonds Watch, 32mm","Noemia Ladies Quartz Grey Dial 47 Diamonds Watch, 32mm",,,USD,,https://www.raymond-weil.com/wp-content/uploads/2021/12/Packshot_5132-S1S-60181.png,Switzerland,Round,Stainless steel set with diamonds,,screwed,32mm, , ,7.58mm,,,Sapphire,"50 m, 165 ft, 5 atm",,"Grey, with Roman numerals and set with diamonds","Grey, with Roman numerals and set with diamonds",Stainless steel,Stainless steel,Stainless steel folding clasp with double push-security system,Quartz,Quartz,,,,,"RAYMOND WEIL presents a luxurious variation of its emblematic noemia watch. A jewelled, asymmetric variation where contrasts blossom.
RAYMOND WEIL has turned one of its emblematic models into a jewel watch, an object of desire. With its two glittering cascades of 18 diamonds set asymmetrically on the 32 mm case, the jewelled decoration has moved out of its usual context. Hosted in its sensual case, the grey dial captures the eye with its depth giving an unprecedented effect of grandeur. The sober combination of nature and gradation results from the precious guilloché work creating an incomparable effect of light, texture, brilliance and elegance. The dial is adorned with 11 diamond indices and a Roman XII, as a reference to the collection’s previous models. This harmonious creation is an ode to refined style and feminine grace. With its slightly rounded sensual curves, the noemia reassures like a comforting talisman gently enveloping the wrist. The dazzling case, the pure dial and the delight of the polished and satin-finished steel bracelet are hallmarks of an authentic piece of jewellery. The companion for all life’s moments.
Named after the Maison’s founder granddaughter, the noemia collection celebrates the RAYMOND WEIL family by creating exclusively feminine pieces. This contemporary incarnation of grace and timeless elegance is exhibited in a collection composed of stainless steel or gold-plated watches. Now available in a steel version with an accented jewelry character. Made with the Swiss precision for which the company is renowned, it is adorned with 47 diamonds and its delicate curves form a voluptuous caress of the wrist.",
5132-STP-65181,https://www.raymond-weil.com/en/product/noemia-5132-stp-65181/,Ladies,Raymond Weil,,Noemia,"Noemia Ladies Quartz Two-tone PVD Watch, 32mm","Noemia Ladies Quartz Two-tone PVD Watch, 32mm",,,USD,,https://www.raymond-weil.com/wp-content/uploads/2021/12/Packshot_5132-STP-65181.png,Switzerland,Round,Stainless steel,,screwed,32mm, , ,7.58mm,,,Sapphire,"50 m, 165 ft, 5 atm",,"Silver, with Roman numerals and set with diamonds","Silver, with Roman numerals and set with diamonds",Stainless steel with yellow gold PVD plating,Stainless steel with yellow gold PVD plating,Stainless steel folding clasp with double push-security system,Quartz,Quartz,,,,,"This delicate two-tone model in yellow gold PVD plated and stainless steel, features a 32mm case and a subtly crafted silver dial. Its finishing touch is a crown sheltered by a layer of midnight blue lacquer. The dial is adorned with 11 diamond indices and a Roman XII, as a reference to the collection’s previous models.
This harmonious creation is an ode to refined style and feminine grace. With its slightly rounded sensual curves, the noemia reassures like a comforting talisman gently enveloping the wrist. The pure dial and the delight of the polished and satin-finished steel bracelet are hallmarks of an authentic piece of jewellery. The companion for all life’s moments.
Named after the Maison’s founder granddaughter, the noemia collection celebrates the RAYMOND WEIL family by creating exclusively feminine pieces. This contemporary incarnation of grace and timeless elegance is exhibited in a collection composed of stainless steel or gold-plated watches. Now available in a steel version with an accented jewelry character. Made with the Swiss precision for which the company is renowned, it is adorned with diamonds and its delicate curves form a voluptuous caress of the wrist.",
5124-PS-00985,https://www.raymond-weil.com/en/product/noemia-5124-ps-00985/,ladies,Raymond Weil,,Noemia,"Noemia Ladies Quartz 62 Diamond Mother-of-Pearl Watch, 24 mm","Noemia Ladies Quartz 62 Diamond Mother-of-Pearl Watch, 24 mm",,,USD,,https://www.raymond-weil.com/wp-content/uploads/2017/04/product-5124-PS-00985.png,Switzerland,round,stainless steel with yellow gold PVD plating and set with diamonds,,screwed,24mm, , ,7.03,,,sapphire,"50 m, 165 ft, 5 atm",,"white mother-of-pearl, with Roman numerals and set with diamonds","white mother-of-pearl, with Roman numerals and set with diamonds",stainless steel with yellow gold PVD plating,stainless steel with yellow gold PVD plating,stainless steel folding clasp with yellow gold PVD plating and double push-security system,quartz,quartz,,,,,"This exquisite timepiece from the highly coveted noemia collection features a 24mm stainless steel case, delicate mother-of-pearl dial set with 10 sparkling diamonds to mark the hours and a further 52 on the bezel with 2 gold Roman numerals standing at 12 and 6 o’clock. The crown boasts a veil of midnight lacquer which affirms the dual identity of this watch – both sweet and desirable.
Named after the granddaughter of Mr. Raymond Weil, the noemiacollection captures an elegance and timeless style with a touch of contemporary. This feminine timepiece fitted with a quartz movement is available in 24, 32 or 36mm case to accommodate all wrist sizes. The gracefully formed horns of the bezel merge with the sleek stainless steel bracelet which includes polished and satin-finish links and display curved and rounded contours. This watch is great for everyday wear or special occasions and will impress a woman who appreciates beauty.",
5960-ST-50161,https://www.raymond-weil.com/en/product/tango-5960-st-50161/,Ladies,Raymond Weil,,Tango,"Tango Classic Ladies Quartz Aubergine Purple Frosted Dial Steel Date Watch, 30mm","Tango Classic Ladies Quartz Aubergine Purple Frosted Dial Steel Date Watch, 30mm",,,USD,,https://www.raymond-weil.com/wp-content/uploads/2024/02/RW_tango_5960-st-50161_rvb_700x860px_72dpi.png,Switzerland,Round,stainless steel,,Snapped,30 mm, , ,7.35 mm,,,Sapphire with anti-reflective coating,"100 m, 330 ft, 10 atm",,"Aubergine purple Frosted, indexes enhanced with Super-LumiNova®","Aubergine purple Frosted, indexes enhanced with Super-LumiNova®",Stainless steel,Stainless steel,Stainless steel folding clasp with double push-security system,Quartz,Quartz,,,,,"Housed in a 30 mm stainless steel case, the tango ladies’ timepiece features an ergonomic 5-row bracelet. The bezel is enlivened with six screws, each beautifully framed. Crown protectors are positioned on the right flank of the case.
The aubergine purple frosted dial is sophisticated and adorned with a date window at 3 o’clock. The hour and minute hands are treated with Super-LumiNova®, allowing for enhanced readability in restricted light.
The hours are denoted with slim batons and a central seconds hand has been added for precision. The screwed-down crown, enabling water resistance up to 100m, features the RW monogram.
The model is also available with a green frosted, blue frosted or a terracotta frosted dial.","Stainless Steel Bracelet, Aubergine Purple Frosted Dial, Indexes, Date, Stainless Steel Case"
5960-STS-52061,https://www.raymond-weil.com/en/product/tango-5960-sts-52061/,Ladies,Raymond Weil,,Tango,"Tango Classic Ladies Quartz Diamonds Green Frosted Dial Steel Date Watch, 30mm","Tango Classic Ladies Quartz Diamonds Green Frosted Dial Steel Date Watch, 30mm",,,USD,,https://www.raymond-weil.com/wp-content/uploads/2024/02/RW_tango_5960-sts-52061_rvb_700x860px_72dpi.png,Switzerland,Round,stainless steel set with diamonds,,Snapped,30 mm, , ,7.35 mm,,,Sapphire with anti-reflective coating,"100 m, 330 ft, 10 atm",,"Green frosted, indexes enhanced with Super-LumiNova®","Green frosted, indexes enhanced with Super-LumiNova®",Stainless steel,Stainless steel,Stainless steel folding clasp with double push-security system,Quartz,Quartz,,,,,"Housed in a 30 mm stainless steel set with diamonds case, the tango ladies’ timepiece features an ergonomic 5-row bracelet. The bezel is enlivened with six screws, each beautifully framed. Crown protectors are positioned on the right flank of the case.
The green frosted dial is sophisticated and adorned with a date window at 3 o’clock. The hour and minute hands are treated with Super-LumiNova®, allowing for enhanced readability in restricted light.
The hours are denoted with slim batons and a central seconds hand has been added for precision. The screwed-down crown, enabling water resistance up to 100m, features the RW monogram.
The model is also available with a aubergine purple frosted, blue frosted or a terracotta frosted dial.","Stainless Steel Bracelet, Green Frosted Dial, Diamonds, Indexes, Date, Stainless Steel Case"
5960-STP-50061,https://www.raymond-weil.com/en/product/tango-5960-stp-50061/,Ladies,Raymond Weil,,Tango,"Tango Classic Ladies Quartz Two-Tone Blue Frosted Dial Steel Date Watch, 30mm","Tango Classic Ladies Quartz Two-Tone Blue Frosted Dial Steel Date Watch, 30mm",,,USD,,https://www.raymond-weil.com/wp-content/uploads/2024/02/RW_tango_5960-stp-50061_rvb_700x860px_72dpi.png,Switzerland,Round,stainless steel with yellow gold PVD plating,,Snapped,30 mm, , ,7.35 mm,,,Sapphire with anti-reflective coating,"100 m, 330 ft, 10 atm",,"Blue Frosted, indexes enhanced with Super-LumiNova®","Blue Frosted, indexes enhanced with Super-LumiNova®",Stainless steel with yellow gold PVD plating,Stainless steel with yellow gold PVD plating,Stainless steel folding clasp with double push-security system,Quartz,Quartz,,,,,"Housed in a 30 mm stainless steel with yellow gold PVD plating case, the tango ladies’ timepiece features an ergonomic 5-row bracelet. The bezel is enlivened with six screws, each beautifully framed. Crown protectors are positioned on the right flank of the case.
The blue frosted dial is sophisticated and adorned with a date window at 3 o’clock. The hour and minute hands are treated with Super-LumiNova®, allowing for enhanced readability in restricted light.
The hours are denoted with slim batons and a central seconds hand has been added for precision. The screwed-down crown, enabling water resistance up to 100m, features the RW monogram.
The model is also available with a aubergine purple frosted, green frosted or a terracotta frosted dial.","Stainless Steel Bracelet, Yellow Gold PVD, Blue Frosted Dial, Indexes, Date"
5960-SP5-70061,https://www.raymond-weil.com/en/product/tango-5960-sp5-70061/,Ladies,Raymond Weil,,Tango,"Tango Classic Ladies Quartz Two-Tone Terracotta Frosted Dial Watch, 30mm","Tango Classic Ladies Quartz Two-Tone Terracotta Frosted Dial Watch, 30mm",,,USD,,https://www.raymond-weil.com/wp-content/uploads/2024/02/RW_tango_5960-sp5-70061_rvb_700x860px_72dpi.png,Switzerland,Round,stainless steel with rose gold PVD plating,,Snapped,30 mm, , ,7.35 mm,,,Sapphire with anti-reflective coating,"100 m, 330 ft, 10 atm",,"Terracotta frosted, indexes enhanced with Super-LumiNova®","Terracotta frosted, indexes enhanced with Super-LumiNova®",stainless steel with rose gold PVD plating,stainless steel with rose gold PVD plating,Stainless steel folding clasp with double push-security system,Quartz,Quartz,,,,,"Housed in a 30 mm stainless steel with rose gold PVD plating case, the tango ladies’ timepiece features an ergonomic 5-row bracelet. The bezel is enlivened with six screws, each beautifully framed. Crown protectors are positioned on the right flank of the case.
The terracotta frosted dial is sophisticated and adorned with a date window at 3 o’clock. The hour and minute hands are treated with Super-LumiNova®, allowing for enhanced readability in restricted light.
The hours are denoted with slim batons and a central seconds hand has been added for precision. The screwed-down crown, enabling water resistance up to 100m, features the RW monogram.
The model is also available with a aubergine purple frosted, green frosted or a blue frosted dial.","Stainless Steel Bracelet, Rose Gold PVD, Terracotta Frosted Dial, Indexes, Date"
5960-ST-46001,https://www.raymond-weil.com/en/product/tango-5960-st-46001/,Ladies,Raymond Weil,,Tango,"Tango Classic Ladies Quartz Lavender Dial Steel Date Watch, 30 mm","Tango Classic Ladies Quartz Lavender Dial Steel Date Watch, 30 mm",,,USD,,https://www.raymond-weil.com/wp-content/uploads/2022/11/RW_tango_5960-st-46001_rvb_700x860px_72dpi.png,Switzerland,Round,stainless steel,,snapped,30 mm, , ,7.35 mm,,,Sapphire,"100 m, 330 ft, 10 atm",,"Lavender, indexes enhanced with Super-LumiNova®","Lavender, indexes enhanced with Super-LumiNova®",Stainless steel,Stainless steel,Stainless steel folding clasp with double push-security system,Quartz,Quartz,,,,,"Housed in a 30 mm stainless steel case, the tango ladies’ timepiece features an ergonomic 5-row stainless steel bracelet. The bezel is enlivened with six screws, each beautifully framed. Crown protectors are positioned on the right flank of the case.
The lavender dial is bright and fresh, encompassing a sunray finish as well as a date window at 3 o’clock. The hour and minute hands are treated with Super-LumiNova®, allowing for enhanced readability in restricted light. The hours are denoted with slim batons and a central seconds hand has been added for precision. The screwed-down crown, enabling water resistance up to 100m, features the RW monogram.
The model is also available with a green, blue or pink dial.",
5960-ST-00520,https://www.raymond-weil.com/en/product/tango-5960-st-00520/,Ladies,Raymond Weil,,Tango,"Tango Classic Ladies Quartz Green Dial Steel Date Watch, 30mm","Tango Classic Ladies Quartz Green Dial Steel Date Watch, 30mm",,,USD,,https://www.raymond-weil.com/wp-content/uploads/2021/11/RW_tango_5960-st-00520_rvb_72dpi_.png,Switzerland,Round,stainless steel,,snapped,30mm, , ,7.35,,,Sapphire,"100 m, 330 ft, 10 atm",,"Green, with Roman numerals","Green, with Roman numerals",stainless steel,stainless steel,stainless steel folding clasp with double push-security system,Quartz,Quartz,,,,,"Housed in a 30 mm stainless steel case, the tango ladies’ timepiece features an ergonomic 5-row stainless steel bracelet. The bezel is enlivened with six screws, each beautifully framed. Crown protectors are positioned on the right flank of the case.
The green dial is bright and fresh, encompassing a sunray finish as well as a date window at 3 o’clock. The hour and minute hands are treated with Super-LumiNova®, allowing for enhanced readability in restricted light. The hours are denoted with slim batons and a central seconds hand has been added for precision. The screwed-down crown, enabling water resistance up to 100m, features the RW monogram.
The model is also available with a pink, blue or lavender dial.",
5960-ST-00500,https://www.raymond-weil.com/en/product/tango-5960-st-00500/,Ladies,Raymond Weil,,Tango,"Tango Classic Ladies Quartz Blue Dial Steel Date Watch, 30mm","Tango Classic Ladies Quartz Blue Dial Steel Date Watch, 30mm",,,USD,,https://www.raymond-weil.com/wp-content/uploads/2021/11/RW_tango_5960-st-00500_rvb_72dpi_.png,Switzerland,Round,stainless steel,,snapped,30mm, , ,7.35mm,,,Sapphire,"100 m, 330 ft, 10 atm",,"Blue, with Roman numerals","Blue, with Roman numerals",Stainless steel,Stainless steel,Stainless steel folding clasp with double push-security system,Quartz,Quartz,,,,,"Housed in a 30 mm stainless steel case, the tango ladies’ timepiece features an ergonomic 5-row stainless steel bracelet. The bezel is enlivened with six screws, each beautifully framed. Crown protectors are positioned on the right flank of the case.
The blue dial is bright and fresh, encompassing a sunray finish as well as a date window at 3 o’clock. The hour and minute hands are treated with Super-LumiNova®, allowing for enhanced readability in restricted light. The hours are denoted with slim batons and a central seconds hand has been added for precision. The screwed-down crown, enabling water resistance up to 100m, features the RW monogram.
The model is also available with a green, pink or lavender dial.",
5960-ST-80001,https://www.raymond-weil.com/en/product/tango-5960-st-80001/,Ladies,Raymond Weil,,Tango,"Tango Classic Ladies Quartz Pink Dial Steel Date Watch, 30mm","Tango Classic Ladies Quartz Pink Dial Steel Date Watch, 30mm",,,USD,,https://www.raymond-weil.com/wp-content/uploads/2022/11/RW_tango_5960-st-80001_rvb_700x860px_72dpi.png,Switzerland,Round,Stainless steel,,Snapped,30 mm, , ,7.35 mm,,,Sapphire,"100 m, 330 ft, 10 atm",,"Pink, indexes enhanced with Super-LumiNova®","Pink, indexes enhanced with Super-LumiNova®",Stainless steel,Stainless steel,Stainless steel folding clasp with double push-security system,Quartz,Quartz,,,,,"Housed in a 30mm stainless steel case, the tango ladies’ timepiece features an ergonomic 5-row stainless steel bracelet. The bezel is enlivened with six screws, each beautifully framed. Crown protectors are positioned on the right flank of the case.
The pink dial is bright and fresh, encompassing a sunray finish as well as a date window at 3 o’clock. The hour and minute hands are treated with Super-LumiNova®, allowing for enhanced readability in restricted light. The hours are denoted with slim batons and a central seconds hand has been added for precision. The screwed-down crown, enabling water resistance up to 100m, features the RW monogram.
The model is also available with a green, blue or lavender dial.",
5960-ST-52051,https://www.raymond-weil.com/en/product/tango-5960-st-52051/,Ladies,Raymond Weil,,Tango,"Tango Classic Ladies Quartz Green Dial Steel Date Watch, 30mm","Tango Classic Ladies Quartz Green Dial Steel Date Watch, 30mm",,,USD,,https://www.raymond-weil.com/wp-content/uploads/2024/02/RW_tango_5960-st-52051_rvb_700x860px_72dpi.png,Switzerland,Round,stainless steel,,Snapped,30 mm, , ,7.35 mm,,,Sapphire with anti-reflective coating,"100 m, 330 ft, 10 atm",,"Sunrayed green, indexes enhanced with Super-LumiNova®","Sunrayed green, indexes enhanced with Super-LumiNova®",Stainless steel,Stainless steel,Stainless steel folding clasp with double push-security system,Quartz,Quartz,,,,,"Housed in a 30 mm stainless steel case, the tango ladies’ timepiece features an ergonomic 5-row stainless steel bracelet. The bezel is enlivened with six screws, each beautifully framed. Crown protectors are positioned on the right flank of the case.
The sunrayed green dial is bright and adorned with a date window at 3 o’clock. The hour and minute hands are treated with Super-LumiNova®, allowing for enhanced readability in restricted light.
The hours are denoted with slim batons and a central seconds hand has been added for precision. The screwed-down crown, enabling water resistance up to 100m, features the RW monogram.
The model is also available with a white or a white and a yellow gold PVD plating case dial.",
5960-STP-30041,https://www.raymond-weil.com/en/product/tango-5960-stp-30041/,Ladies,Raymond Weil,,Tango,"Tango Classic Ladies Quartz Two-Tone White Dial Steel Date Watch, 30mm","Tango Classic Ladies Quartz Two-Tone White Dial Steel Date Watch, 30mm",,,USD,,https://www.raymond-weil.com/wp-content/uploads/2024/02/RW_tango_5960-stp-30041_rvb_700x860px_72dpi.png,Switzerland,Round,stainless steel with yellow gold PVD plating,,Snapped,30 mm, , ,7.35 mm,,,Sapphire with anti-reflective coating,"100 m, 330 ft, 10 atm",,"Sunrayed white, indexes enhanced with Super-LumiNova®","Sunrayed white, indexes enhanced with Super-LumiNova®",Stainless steel with yellow gold PVD plating,Stainless steel with yellow gold PVD plating,Stainless steel folding clasp with double push-security system,Quartz,Quartz,,,,,"Housed in a 30 mm stainless steel with yellow gold PVD plating case, the tango ladies’ timepiece features an ergonomic 5-row bracelet. The bezel is enlivened with six screws, each beautifully framed. Crown protectors are positioned on the right flank of the case.
The sunrayed white dial is adorned with a date window at 3 o’clock. The hour and minute hands are treated with Super-LumiNova®, allowing for enhanced readability in restricted light.
The hours are denoted with slim batons and a central seconds hand has been added for precision. The screwed-down crown, enabling water resistance up to 100m, features the RW monogram.
The model is also available with a sunrayed white or sunrayed green dial.","Stainless Steel Bracelet, Yellow Gold PVD, Sunrayed White Dial, Indexes, Date"
5960-ST-30041,https://www.raymond-weil.com/en/product/tango-5960-st-30041/,Ladies,Raymond Weil,,Tango,"Tango Classic Ladies Quartz White Dial Steel Date Watch, 30mm","Tango Classic Ladies Quartz White Dial Steel Date Watch, 30mm",,,USD,,https://www.raymond-weil.com/wp-content/uploads/2024/02/RW_tango_5960-st-30041_rvb_700x860px_72dpi.png,Switzerland,Round,stainless steel,,Snapped,30 mm, , ,7.35 mm,,,Sapphire with anti-reflective coating,"100 m, 330 ft, 10 atm",,"Sunrayed white, indexes enhanced with Super-LumiNova®","Sunrayed white, indexes enhanced with Super-LumiNova®",Stainless steel,Stainless steel,Stainless steel folding clasp with double push-security system,Quartz,Quartz,,,,,"Housed in a 30 mm stainless steel case, the tango ladies’ timepiece features an ergonomic 5-row stainless steel bracelet. The bezel is enlivened with six screws, each beautifully framed. Crown protectors are positioned on the right flank of the case.
The white dial is adorned with a date window at 3 o’clock. The hour and minute hands are treated with Super-LumiNova®, allowing for enhanced readability in restricted light.
The hours are denoted with slim batons and a central seconds hand has been added for precision. The screwed-down crown, enabling water resistance up to 100m, features the RW monogram.
The model is also available with a sunrayed green or a white and a yellow gold PVD plating case dial.",
5960-STP-00308,https://www.raymond-weil.com/en/product/tango-5960-stp-00308/,ladies,Raymond Weil,,Tango,"Tango Classic Ladies Quartz Two-Tone Gold Steel Bracelet Watch, 30mm","Tango Classic Ladies Quartz Two-Tone Gold Steel Bracelet Watch, 30mm",,,USD,,https://www.raymond-weil.com/wp-content/uploads/2017/05/RW_tango_5960-stp-00308_rvb_700x860px_72dpi-3.png,Switzerland,round,stainless steel with yellow gold PVD plating,,snapped,30mm, , ,7.35,,,sapphire,"100 m, 330 ft, 10 atm",,"white, with Roman numerals","white, with Roman numerals",stainless steel with yellow gold PVD plating,stainless steel with yellow gold PVD plating,stainless steel folding clasp with double push-security system,quartz,quartz,,,,,"Featuring a 30mm stainless steel case, a date window located at 3 o’clock and a white dial with Roman numeral markers, this tango classic ladies two-tone gold PVD wristwatch comes with a sleek stainless steel wristband and casing.
Water resistant up to 100 meters with a scratch-resistant surface, it offers durability in a comfortable and stylish bracelet watch. A quartz movement, wrapped up in a luxurious package, keeps time with the easily read analog display. Modesty and elegance are the key principles of this modern classic.",
5960-STP-00995,https://www.raymond-weil.com/en/product/tango-5960-stp-00995/,ladies,Raymond Weil,,Tango,"Tango Classic Ladies Quartz Gold Two-Tone Stainless Steel Diamond Watch, 30mm","Tango Classic Ladies Quartz Gold Two-Tone Stainless Steel Diamond Watch, 30mm",,,USD,,https://www.raymond-weil.com/wp-content/uploads/2017/05/RW_tango_5960-stp-00995_rvb_700x860px_72dpi-1.png,Switzerland,round,stainless steel with yellow gold PVD plating,,snapped,30mm, , ,7.35,,,sapphire,"100 m, 330 ft, 10 atm",,"white mother-of-pearl, with Roman numerals and set with diamonds","white mother-of-pearl, with Roman numerals and set with diamonds",stainless steel with yellow gold PVD plating,stainless steel with yellow gold PVD plating,stainless steel folding clasp with double push-security system,quartz,quartz,,,,,"This two-tone stainless steel bracelet watch features a delicate white mother-of-pearl dial adorned with 8 diamonds and punctuated by gold-plated Roman numeral markers, offering a unique look and feel.
The tango classic ladies two-tone stainless steel wristwatch comes with a sleek steel wristband and casing. Equipped with a quartz movement and a date function at 3 o’clock, keep time with its easily read analog display. Water resistant up to 100 meters with a scratch-resistant surface, it offers durability in a comfortable and stylish bracelet watch. Modesty and elegance are the key principles of this modern classic.",
5960-STS-00995,https://www.raymond-weil.com/en/product/tango-5960-sts-00995/,ladies,Raymond Weil,,Tango,"Tango Classic Ladies Quartz Silver Steel Diamond Bracelet Watch, 30mm","Tango Classic Ladies Quartz Silver Steel Diamond Bracelet Watch, 30mm",,,USD,,https://www.raymond-weil.com/wp-content/uploads/2017/05/RW_tango_5960-sts-00995_rvb_700x860px_72dpi-1.png,Switzerland,round,stainless steel set with diamonds,,snapped,30mm, , ,7.35,,,sapphire,"100 m, 330 ft, 10 atm",,"white mother-of-pearl, with Roman numerals and set with diamonds","white mother-of-pearl, with Roman numerals and set with diamonds",stainless steel,stainless steel,stainless steel folding clasp with double push-security system,quartz,quartz,,,,,"With its date window located at 3 o’clock, check both the date and the time in one simple glance at the wrist. Featuring a 30mm stainless steel case, this tango classic ladies silver steel diamond bracelet watch has 44 .18-carat diamonds and a delicate mother of pearl dial, offering a unique look and feel.
The tango classic ladies silver steel diamond wristwatch comes with a sleek stainless steel wristband and casing. Water resistant up to 100 meters with a scratch-resistant surface, it offers durability in a comfortable and stylish bracelet watch. A 30-millimeter face diameter and a Quartz movement all wrapped up in a luxurious package, keep time with the easily read analog display. Modesty and elegance are the key principles of this modern classic.",
5960-ST-00995,https://www.raymond-weil.com/en/product/tango-5960-st-00995/,ladies,Raymond Weil,,Tango,"Tango Classic Ladies Quartz 8 Diamond Steel Watch, 30mm","Tango Classic Ladies Quartz 8 Diamond Steel Watch, 30mm",,,USD,,https://www.raymond-weil.com/wp-content/uploads/2017/05/RW_tango_5960-st-00995_rvb_700x860px_72dpi.png,Switzerland,round,stainless steel,,snapped,30mm, , ,7.35,,,sapphire,"100 m, 330 ft, 10 atm",,"white mother-of-pearl, with Roman numerals and set with diamonds","white mother-of-pearl, with Roman numerals and set with diamonds",stainless steel,stainless steel,stainless steel folding clasp with double push-security system,quartz,quartz,,,,,"With 8 diamonds and a delicate mother of pearl dial, this tango classic diamond steel quartz bracelet watch offers a unique look and feel.
The tango classic Ladies diamond steel quartz wristwatch comes with a sleek stainless steel wristband and casing. Water resistant up to 100 meters with a scratch-resistant surface, it offers durability in a comfortable and stylish bracelet watch. A 30-millimeter face diameter and a Quartz movement all wrapped up in a luxurious package, keep time with the easily read analog display. With its date window located at 3 o’clock, check both the date and the time in one simple glance at the wrist. Modesty and elegance are the key principles of this modern classic.",
5960-ST-00300,https://www.raymond-weil.com/en/product/tango-5960-st-00300/,ladies,Raymond Weil,,Tango,"Tango Classic Ladies Quartz White Dial Steel Date Watch, 30mm","Tango Classic Ladies Quartz White Dial Steel Date Watch, 30mm",,,USD,,https://www.raymond-weil.com/wp-content/uploads/2017/05/RW_tango_5960-st-00300_rvb_700x860px_72dpi.png,Switzerland,round,stainless steel,,snapped,30mm, , ,7.35,,,sapphire,"100 m, 330 ft, 10 atm",,"white, with Roman numerals","white, with Roman numerals",stainless steel,stainless steel,stainless steel folding clasp with double push-security system,quartz,quartz,,,,,"Featuring a 30mm stainless steel case, this tango classic ladies’ steel quartz date watch is accented by a sophisticated white dial and black Roman numerals with a date window function at 3 o’clock.
The tango classic Ladies steel quartz date watch comes with a stainless steel wristband and casing with white dial offering a sleek look and feel. Water resistant up to 100 meters with a scratch-resistant surface, it offers durability in a comfortable and stylish bracelet watch. A 30-millimeter face diameter and a Quartz movement all wrapped up in a luxurious package, keep time with the easily read analog display. With its date window located at 3 o’clock, check both the date and the time in one simple glance at the wrist. Modesty and elegance are the key principles of this modern classic. Simplicity is key making this watch suitable for any occasion.",
5925-PS-00995,https://www.raymond-weil.com/en/product/toccata-5925-ps-00995/,Ladies,Raymond Weil,,Toccata,"Toccata Ladies 68 diamonds Gold Quartz Watch, 22.6 x 28.1 mm","Toccata Ladies 68 diamonds Gold Quartz Watch, 22.6 x 28.1 mm",,,USD,,https://www.raymond-weil.com/wp-content/uploads/2020/03/RW_toccata_5925-ps-00995_pkt.png,Switzerland,Rectangular,Stainless steel with yellow gold PVD plating set with 60 diamonds,,Snapped,22.6 mm x 28.1 mm, , ,6.4mm,,,Sapphire,"50 m, 165 ft, 5 atm",,"White mother-of-pearl, with Roman numerals and set with diamonds","White mother-of-pearl, with Roman numerals and set with diamonds",Stainless steel with yellow gold PVD plating,Stainless steel with yellow gold PVD plating,Stainless steel folding clasp with double push-security system,Quartz,Quartz,,,,,"A popular style in the art deco era of the 1920s and 1930s, square-faced watches are making a chic new revival. RAYMOND WEIL introduces this design in the form of our ever-classic and popular ladies’ toccata collection. This new quartz model adopts a sophisticated art deco appeal with an elongated rectangular face and slim 6.4 mm case. This is our shallowest case design to date which gives a very sleek profile to this watch.
This timepiece of choice is available in several variations. The face comes in combinations of black roman numerals on a crisp white dial or alternating gold & diamond indexes on a mother-of-pearl face. The sapphire crystal window is framed by a beveled rectangular case. The tiered design gives this watch an illusion of depth without thickness. The watch is completed with RW monogram signature upon the crown. Unlike the classic round ladies’ toccata, this watch manages to nail a refined, retro aesthetic all the while remaining true to the Swiss craftsmanship and inspiration behind the collection.
About the toccata collection: This elegant and timeless collection celebrates the artistic and musical spirit behind the Brand’s DNA. Following in the footsteps of the great composers, toccata promotes RAYMOND WEIL’s Swiss horology while respecting the tradition and heritage handed down from generation to generation within the family company.",
